1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
0.96,2.73,3.74,3.61,8.75,8.84,8.73
1.0,2.28,2.92,3.16,7.21,6.57,6.58
0.42,0.35,1.35,1.45,2.1,2.95,2.91
