Date,AtchisonAusShares,SAA Target,Peer Group
2022-12-31,9.2305473029189,9.488959761672145,7.550707567238257
2023-01-31,8.846262612269218,9.54276314362934,7.628661447939455
2023-02-28,0.36144986662038914,0.1349468790389885,0.36302700060193427
2023-03-31,3.350296123395835,3.3330000099376367,2.943502677697052
2023-04-30,-0.14584435762281522,-0.8256328644453248,-0.5891270782343416
2023-05-31,-0.3793905423150168,-0.81211595353603,-0.97816754591602
2023-06-30,1.3295900119705273,0.9867078869692625,0.8807902296155579
2023-07-31,2.1757262725890847,1.960123625186272,1.7782283175953095
2023-08-31,3.817007465108624,3.8570290872362856,3.134983638174371
2023-09-30,-0.9236976361184701,-0.8160395665358644,-1.160700188839836
2023-10-31,-7.63551195386134,-7.374499494704468,-7.632075400527604
2023-11-30,-2.3341586912974277,-1.8890837143703876,-2.5492544997569144
2023-12-31,7.649615727040393,8.383957102677542,6.681511185997069
2024-01-31,13.93828299949269,14.101149489619957,12.269555235783457
2024-02-29,9.923776405343943,9.402416783646729,8.772716320084161
2024-03-31,6.251885616538666,5.331794498138209,5.479209540606833
2024-04-30,1.6973712063104163,1.0384440225183367,1.5155897451515354
2024-05-31,0.9649732260266219,1.2006854012921897,0.5202692440021472
2024-06-30,-1.6051963653077927,-1.1326584211875712,-1.837423714761588
2024-07-31,5.3998006589139,6.159223901091848,4.5770102447975525
2024-08-31,5.0005515996130345,5.589979493075292,4.674285571930614
2024-09-30,7.104099151472876,7.458218427692209,6.9879668059511735
2024-10-31,1.9810299449037228,2.020161188380243,1.8115529022142418
2024-11-30,5.88721800644334,5.457659208600019,4.9852828548551775
2024-12-31,-0.19844232462662426,-0.5012486811816319,-1.2031195200195022
2025-01-31,5.019156985415241,5.156962159149603,3.9662346350681554
2025-02-28,-2.0888709480217926,-2.603728576755515,-2.9433498833676186
2025-03-31,-2.5089039613902964,-2.824331541734426,-3.36859740616422
2025-04-30,-3.3538330442937414,-3.742048503153439,-4.525735304353762
2025-05-31,4.832383605645374,4.3658076331665185,2.8163590024958607
2025-06-30,9.773417405643968,9.482884298553884,7.961323892939887
2025-07-31,8.942870854912833,8.182737879277724,7.585182272437274
2025-08-31,7.703016191067369,7.086056059221746,6.22213387175703
2025-09-30,5.893587889804963,4.605444578463791,3.931026695369777
2025-10-31,3.532301879635802,2.689934617709322,1.785636869107532
2025-11-30,-2.8281232672418333,-3.087070778936629,-3.2919834216272315
2025-12-31,-2.532272491194665,-0.924931440582577,-1.7889516493843183
2026-01-31,-2.0870189805681116,0.4422408455327709,-0.11406999678359453
2026-02-28,1.769044775650297,7.402849279721124,3.8334680832670553
2026-03-31,-5.8372556097830985,-1.5917898865371094,-3.7241786315768355
