Date,AtchisonAusShares,SAA Benchmark,Peer Group
2019-12-31,1.3305177558760928,0.6482232669954735,1.5925000109713983
2020-01-31,6.201921177994141,6.044161488274025,5.650726869702538
2020-02-29,-5.4501145658013,-5.210111544967266,-5.45789743315127
2020-03-31,-23.436036964928753,-23.08026167184104,-23.114900297201014
2020-04-30,-19.678762056038966,-20.30879656915382,-19.300535313947208
2020-05-31,-8.255400357572483,-9.90959092466298,-8.422500340740392
2020-06-30,18.179525167812404,16.418596465791534,16.769801715051756
2020-07-31,8.307555704718705,7.589925288773647,7.386102552944962
2020-08-31,6.404984247982681,6.0139128832952915,6.1426778348964595
2020-09-30,0.10014989984015177,-0.4548857472246981,1.0864970090389336
2020-10-31,1.2740843203643992,0.9503431582581046,2.389272551078192
2020-11-30,8.272675663047124,8.19976308364534,8.914405004282667
2020-12-31,13.611559463604817,13.681050427909792,13.389907295912895
2021-01-31,11.954521552039532,11.869512006428629,11.51988881982573
2021-02-28,3.0377159659574993,2.982201707104637,3.123066233331895
2021-03-31,4.603169114610228,4.239993103276474,4.64499989740963
2021-04-30,7.855927444878907,7.5270055705567,8.230037300357584
2021-05-31,8.396900786347938,8.459653396926026,8.345932369682174
2021-06-30,8.326157961151083,8.259636961057115,7.499604012383032
2021-07-31,6.2971490778117145,5.782455315352619,5.008798852039398
2021-08-31,6.858963113975225,5.954814007070386,6.064374883972845
2021-09-30,2.8139671013778456,1.6894558476506782,2.9818978752509384
2021-10-31,1.5251674009217897,0.4833737833513929,1.863808422523494
2021-11-30,-1.8047064019639625,-2.512999049181619,-1.870352971395739
2021-12-31,2.529055409697123,2.065096297791724,1.622201077275931
2022-01-31,-3.780132361456545,-4.332949113116924,-4.0869090818803855
2022-02-28,-1.3624963613842467,-1.7422785623367854,-1.629395340839157
2022-03-31,2.293300840115897,2.2053835401378397,1.2377018559704744
2022-04-30,8.343669296858526,8.209316461049543,6.725095156903449
2022-05-31,3.006308002207647,3.179711894011672,1.7099006871628575
2022-06-30,-11.58759066711318,-11.942983344977032,-11.324495730563767
2022-07-31,-6.462627604671978,-6.0700871222415635,-6.135546704669093
2022-08-31,-1.7536731502968417,-2.4296740144325257,-1.8778770945993228
2022-09-30,0.6265641596788107,0.46450002343467744,0.5362950775313235
2022-10-31,1.23028709463473,0.7318831387445712,0.6880984252579436
2022-11-30,5.513807572197993,6.115572784358281,4.529864563524488
2022-12-31,9.131114051522914,9.362073825896156,7.550707548965208
2023-01-31,8.849218175594453,9.551362509255078,7.628661978505158
2023-02-28,0.42636458759239826,0.2633980967217342,0.363024174853277
2023-03-31,3.496927650098547,3.4222726419126603,2.9434985564127603
2023-04-30,-0.09086904784784133,-0.8273517845166611,-0.5891328578591204
2023-05-31,-0.36642197336586024,-0.9036253333305488,-0.9781729133826578
2023-06-30,1.3319997551088036,0.9962914323740302,0.880787577669806
2023-07-31,2.207048401901912,2.0103449008923358,1.5872766817348394
2023-08-31,3.4676176126622327,3.8977025832153567,3.0233816169670025
2023-09-30,-1.1879522455004454,-0.7962315682174759,-1.340594724526356
2023-10-31,-7.815316204649648,-7.214871893646713,-7.602464249716389
2023-11-30,-2.226016104791384,-1.8330887890364633,-2.7615693512197503
2023-12-31,7.635994952909897,8.37123098180761,6.629905786616175
2024-01-31,13.865282856546024,13.95899895403403,12.185584943488958
2024-02-29,9.912042950716549,9.362205668765956,8.8771263028387
2024-03-31,6.239932345546695,5.298285141503811,5.412687452618958
2024-04-30,1.6822013453188678,1.0102795146353483,1.4515685942334988
2024-05-31,0.9280585033870414,1.136820581231479,0.16022735834191337
