Date,AtchisonIntShares,SAA Target,Peer Group
2022-12-31,-3.0550297034438456,-2.6734079012980305,-4.263568593729272
2023-01-31,1.5173083553856825,1.7867502912553013,3.822303033280705
2023-02-28,1.2569202378776456,2.8378476829523436,1.2263207859305458
2023-03-31,2.1612949958869754,2.3410169234011846,3.033534247464198
2023-04-30,3.117653267941445,2.8860721664411004,2.370907310283732
2023-05-31,1.98927956709396,1.7463551004360367,0.4535429835171634
2023-06-30,2.217716293112093,2.08649069122977,2.5125696819037646
2023-07-31,2.9297027785825547,3.858097692596285,1.9077967253162686
2023-08-31,1.4208674723850567,0.6773125295180371,0.5941641132662268
2023-09-30,-3.588302937373422,-3.818635913318291,-3.7597063483851834
2023-10-31,-1.9418448407351296,-2.2698250510210682,-1.6766047536666329
2023-11-30,5.055991992751241,4.859758158461602,4.342103295628186
2023-12-31,2.4521419522162358,1.9837495391976656,2.2719962159688745
2024-01-31,4.798932572537584,4.920132607117278,3.309001695146274
2024-02-29,6.579109239253467,4.2213056302875085,5.402817454699305
2024-03-31,3.0138694958597334,3.2536513410462042,2.73604913596297
2024-04-30,-2.474036534163093,-1.825462858709892,-3.043706628159626
2024-05-31,1.3011743450314972,-0.02364195709818606,1.5073858473914514
2024-06-30,3.280773698883044,3.920991448991651,0.48169135921964923
2024-07-31,1.0203453744347168,2.4289186336543533,3.041697055184378
2024-08-31,-0.4895261592149369,-1.9227256446153307,-0.8254427841586809
2024-09-30,0.4969622568903542,1.0574749461598199,0.15445169819072735
2024-10-31,2.865183210473088,4.181386511299956,2.647696753765527
2024-11-30,3.125986084803989,2.9670129039516713,3.8362329405480233
2024-12-31,1.4214133307613341,2.8197783463709936,1.0382012388405526
2025-01-31,3.1388910236640033,3.6112462098985,3.2846027911117126
2025-02-28,-1.1601392420908518,-2.0336249794528527,-0.6754182698725963
2025-03-31,-4.066073826509964,-3.6158091496836575,-4.025172297829361
2025-04-30,-1.907519647820688,-1.52858903170342,-1.369098620642062
2025-05-31,4.018136498881142,5.840860968654815,4.7899763002592355
2025-06-30,2.3224260027466137,2.715135805001645,2.1405681505175966
2025-07-31,2.205018119863267,3.7895452069508284,1.5492027929096652
2025-08-31,0.55396984401479,0.7365139920721742,0.8049661385298723
