1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
-0.05,-1.43,2.33,8.83,12.38,18.05,18.07
-0.47,-3.0,0.28,4.0,9.31,13.5,14.56
-0.1,0.3,1.76,3.8,3.08,3.17,3.01
