1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
3.62,4.16,5.53,10.27,21.05,15.0
2.6,2.37,4.04,7.96,16.92,12.18
0.0,0.0,0.25,1.4,2.93,3.22
