1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
-0.82,1.6,1.65,6.43,12.72,12.94
-0.9,1.68,1.46,6.09,11.74,11.13
0.0,0.0,0.0,0.97,2.86,3.53
