1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
0.45,-1.51,-1.91,2.06,8.98,9.97,11.27
0.65,-1.61,-2.51,1.33,7.72,8.01,9.32
0.2,0.4,0.6,1.21,3.24,3.5,3.63
