1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
1.04,0.78,0.92,3.59,3.64,3.75,3.85
0.59,0.28,0.93,3.34,3.89,4.08,4.22
-0.1,0.3,1.76,3.8,3.08,3.17,3.01
