Date,Atchison55ACTIVE,SAA Target,Peer Group
2022-12-31,4.393419617747174,4.210331531909617,3.6023008325247297
2023-01-31,3.778738342639798,4.102060902145421,3.893593745797941
2023-02-28,0.26391384468811285,0.0981407732028039,0.16170259875512016
2023-03-31,3.63623613082118,4.099031771729478,3.372298283932218
2023-04-30,2.384632057902558,1.853707486925038,1.4386293781739612
2023-05-31,2.5322950927735954,1.9309213562582972,1.5597598334573304
2023-06-30,2.3664637851030346,1.633593845983583,1.2580025337687095
2023-07-31,2.5008204066920836,1.7556701371216121,1.3639391413416968
2023-08-31,3.3028748988820134,2.4449230048092074,2.070811911955084
2023-09-30,0.1834971634748328,-0.4980489920200504,-1.0250035660488543
2023-10-31,-3.0196027326423125,-3.083140176386301,-3.921321171454384
2023-11-30,-0.32396506998423336,-0.33537768548949076,-0.5813247381930786
2023-12-31,4.881640370301987,4.796223267912558,5.052501644995178
2024-01-31,7.66562708405385,7.096026169197112,7.717356011581877
2024-02-29,6.189262725416644,4.864449199706611,5.678732607043813
2024-03-31,5.236537311253353,4.109293312608853,4.336195441092294
2024-04-30,2.0851461359157053,0.7204472437224219,1.3428126040385013
2024-05-31,1.262893685072597,0.7430807490591551,0.7995476969538506
2024-06-30,-0.2506759592507013,-0.5087535700407209,-0.44903915960111673
2024-07-31,4.3506801209738155,4.820978293828415,3.981610448419759
2024-08-31,3.7797547273141996,4.484971436440199,3.475567431109128
2024-09-30,4.211504558324619,5.008188795697244,3.9077045480791384
2024-10-31,1.522767510531331,1.4219152493384124,1.3002054433886245
2024-11-30,3.161176934995913,2.9183518202193115,3.102374104226535
2024-12-31,1.4753007127782602,0.6527290140815989,1.231899944065007
2025-01-31,3.547518846594011,2.9766117178248175,3.2549255494588314
2025-02-28,1.3205700094305106,0.4623002420114375,0.7038311743270187
2025-03-31,0.30244899412654735,-0.43295579312397914,-0.33860163382073427
2025-04-30,-1.0694405629715575,-0.769365567587621,-1.475205885997699
