1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception (p.a.)
0.56,-0.96,-1.07,2.44,8.52,8.88,9.97
0.59,-1.15,-1.48,1.73,7.16,6.73,7.82
0.0,0.0,0.0,0.0,1.82,2.79,3.02
