1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
1.18,1.76,2.05,2.78,6.89,5.38,3.13,3.71,3.32,3.62
0.65,0.71,1.3,2.0,4.89,3.82,1.7,1.83,1.76,2.03
0.42,0.84,1.27,2.22,3.75,4.77,5.24,4.45,3.91,3.61
