Date,Atchison70ACTIVE,SAA Benchmark,Peer Group
2023-06-30,1.5518846540562459,1.6499568134632936,1.330591350505772
2023-07-31,2.0836340127337927,2.041733118196376,1.7689955389723622
2023-08-31,0.5395441623749608,0.2958414493088757,-0.11987906825646766
2023-09-30,-2.3022114786698356,-2.3363344474639836,-2.6439600228863602
2023-10-31,-1.7596886617640028,-1.3935206132441036,-2.1086048061506157
2023-11-30,3.774324712822663,3.3210845753114615,3.9169961289039934
2023-12-31,3.634266864535496,3.019922981137624,3.71666175657428
2024-01-31,1.3768545533762389,1.4295092776348328,1.1702029511230005
2024-02-29,2.4362825258595233,1.6074349621442385,2.036079213588926
2024-03-31,2.6447803821758598,2.304240895878551,2.5837409282478685
2024-04-30,-2.129392405976138,-1.9324374719163817,-2.3634098648849133
2024-05-31,1.1946927403421626,1.0200371941760489,1.0289119606427422
2024-06-30,0.8077305941461166,0.8892989559919684,0.8627051049585388
