Date,AtchisonRealAssets,SAA Target,Peer Group
2022-12-31,3.366896342599679,4.821184639653708,4.475149820515645
2023-01-31,5.168527272835433,4.331727888346526,4.430546912136268
2023-02-28,0.5140013919667119,-0.7502276444527944,0.19836397379529025
2023-03-31,-0.7997784306477684,0.015806689380171157,0.5392206264368316
2023-04-30,-2.8993646400919504,-0.9836256231354978,-0.8121956233130279
2023-05-31,-3.454252951300407,-2.003863719469945,-2.013415181218847
2023-06-30,1.4319470370656395,1.081587148562213,0.6031310230248943
2023-07-31,1.2245500576732793,0.7257824677580071,-0.03462360343760018
2023-08-31,3.5495231602357125,2.4245423380581554,1.2807210081106746
2023-09-30,-4.1151286123544235,-3.621531417252588,-3.4736497801645005
2023-10-31,-9.017913222410511,-7.828609302769829,-7.240050637163165
2023-11-30,-2.1136548868168847,-1.5502152650834544,-1.069651150886286
2023-12-31,11.145594676164405,9.15617648955067,7.929577342091854
2024-01-31,12.523870426642713,11.110815104853188,9.554535955367394
2024-02-29,5.67990710217523,6.3604944377381845,5.0310481672632745
2024-03-31,3.717114636803842,5.368822273254592,3.796862415839919
2024-04-30,0.5054566401157867,1.743654863228361,1.2199158094783114
2024-05-31,2.288624261941896,2.211892538124194,1.5873106690818206
2024-06-30,-2.7890905117159526,-2.5130555191063997,-2.2081517941420326
2024-07-31,7.442313941574108,7.460984047103381,5.434323951126352
2024-08-31,7.5023937843619715,7.174006555557888,5.1844319636507485
2024-09-30,12.057752260734112,10.22915040570953,8.230695825536905
2024-10-31,3.6550875051500453,3.3229729631713,2.515000672183909
2024-11-30,2.8084494759206047,4.070024846354725,2.9317050222230634
2024-12-31,-5.355188492432261,-2.3470225690538915,-2.7298452826666098
2025-01-31,-1.2386517153623156,-0.2621033524280669,-0.08475843829537366
2025-02-28,-3.130661693472292,-2.803598946126018,-2.28211115414918
2025-03-31,0.374337449811013,-0.7520457846897921,-0.6101103810902675
2025-04-30,0.36170532122778987,-1.318591552063486,-0.4802628606638937
