Date,AtchisonRealAssets,SAA Target,Peer Group
2022-12-31,-2.365848196714171,-2.8734320938512137,-2.4433496897202645
2023-01-31,5.002394994955384,3.540406455376144,3.7701394837788227
2023-02-28,-1.9549664146861212,-1.3080770144419884,-1.023669171203756
2023-03-31,-3.641986613859005,-2.123785178018167,-2.11147966760713
2023-04-30,2.78000499418416,2.5057537210949166,2.375294249616422
2023-05-31,-2.5152515550137866,-2.324972050884544,-2.222327666655355
2023-06-30,1.2347121354794321,0.9578899108616978,0.5024479102184731
2023-07-31,2.5698516529499837,2.1449360092625547,1.7263053277089213
2023-08-31,-0.27617597586302445,-0.6776637476354264,-0.9357688693053867
2023-09-30,-6.258599201320825,-5.0016080243788235,-4.215388788991314
2023-10-31,-2.674749323848258,-2.3138576167555547,-2.2429946892605024
2023-11-30,7.2914570347870855,6.0878277895847654,5.653991960406191
2023-12-31,6.439194613904009,5.329445550698897,4.4976867477545035
2024-01-31,-1.4678545899004192,-0.5646106916353144,-0.7711915774571754
2024-02-29,0.7657412538544461,1.552254898659311,1.2915569573310526
2024-03-31,4.462299904804956,4.347386565308753,3.2697683532299404
2024-04-30,-4.518957137877422,-3.9856409826367734,-3.23472790376097
2024-05-31,2.5535268448057424,2.019611725756776,1.659211850636888
2024-06-30,-0.7233184114466606,-0.47627895135260445,-0.5885533878317473
2024-07-31,5.530379631901883,5.837736094805024,4.327520469161206
2024-08-31,2.6108729642640993,1.7471655675430409,1.4182673314086403
2024-09-30,3.483479754254293,2.3607828892753258,2.290518083287929
2024-10-31,-2.3828292598233825,-0.7933064460925565,-1.1820468357384706
2024-11-30,1.7727639109129,2.4828239546947906,1.8305136650508036
2024-12-31,-4.733759866862375,-3.950871194103467,-3.3357650305177677
2025-01-31,1.8629890478534472,1.3247850576172393,1.5051296025231586
2025-02-28,-0.17693694031809537,-0.12861717515905147,-0.4089600354706735
2025-03-31,-1.2867652255459494,-1.9235338470579566,-1.681792789559089
2025-04-30,1.8501695721964584,0.7463839353139434,1.63774056969479
