1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
4.33,5.09,3.49,14.17,11.35,8.68
3.29,4.62,3.86,12.42,9.17,7.76
0.42,0.52,0.6,1.21,3.4,3.85
