1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
-0.26,0.53,0.74,5.93,17.54,9.95,7.15
-0.25,0.89,1.3,5.33,14.94,8.62,6.12
0.0,0.25,0.55,1.82,3.31,4.2,4.68
