1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
0.66,1.13,-0.9,-0.56,3.1,3.65
0.54,1.18,-0.2,0.53,3.83,4.13
0.0,0.42,0.84,1.45,3.16,3.77
