1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.96,10.65,15.17,21.6,30.52,29.77
2.74,8.29,11.87,17.45,22.73,25.62
0.42,0.52,0.6,1.21,3.4,3.85
