Date,AtchisonAlts,SAA Benchmark,Peer Group
2019-12-31,0.3767153673857493,0.240602495434028,2.5264676252015894
2020-01-31,2.6410475467638195,0.2412939916149437,2.9078800803119753
2020-02-29,-0.40027169298720855,0.23663375839932943,-2.151447328830658
2020-03-31,-4.015943801478638,0.2577417049590691,-11.21099608838011
2020-04-30,-4.409281766777362,0.22322752863856987,-6.0641656994186
2020-05-31,-2.2298838015172073,0.15856130428930637,0.4801558332666156
2020-06-30,1.8349157855737763,0.07429638223725998,9.371172401113913
2020-07-31,1.2128781036422565,0.03415464295573045,7.279613611835889
2020-08-31,0.8402595170324378,0.038246036262434835,6.282850957648978
2020-09-30,1.0237072652049317,0.0330452511738466,3.6908497632646364
2020-10-31,0.5499743163437376,0.03272002657865869,-0.6382459757361847
2020-11-30,2.7729426907930455,0.02792058701486244,2.8707574572532035
2020-12-31,2.9390275716950187,0.02341044255360636,8.21869604538974
2021-01-31,2.5930012980621697,-0.013897666454987245,9.05896405707205
2021-02-28,1.538214103137392,-0.043543244342625353,5.5150612095178575
2021-03-31,4.0789671466477495,0.25525918860789254,2.7688128946692148
2021-04-30,4.4899171836145335,0.4374006800957231,6.139678256799508
2021-05-31,4.717949139128352,0.5151108098022439,7.537366900736142
2021-06-30,2.5322937731734774,0.36720212153482645,5.789019500499126
2021-07-31,2.9504943932379346,0.3381866225673935,3.674979594303074
2021-08-31,1.9252749070662878,0.45845327622013876,0.22586484887225922
2021-09-30,1.6884757553242036,0.1319986263364603,-0.8332578983426431
2021-10-31,1.193662580031507,0.14404652414761188,-0.20749674895795822
2021-11-30,1.2174581291343634,0.05893884148475692,0.5758835875610657
2021-12-31,1.3403404281384423,0.47929211311779074,3.9052081296135466
2022-01-31,2.113530963696997,0.09980157174598325,1.6867883029388464
2022-02-28,1.181275033539353,-0.05566758864491428,3.464579255049194
2022-03-31,0.9178084033453215,-0.11583364430712839,4.717790558538981
2022-04-30,0.5424082223354887,0.06845575796374792,4.511785636780052
2022-05-31,0.38940193532153167,-0.008955447217973145,0.2785667265057912
2022-06-30,-1.8040083184694855,-0.4790987650586498,-7.614752653134249
2022-07-31,-0.8725919148894534,0.03917219416060824,-6.040679027823515
2022-08-31,-0.7923673134035525,0.19650903544183862,-2.678266170757815
2022-09-30,0.49073246837048057,0.08942628356183313,1.7418631929357886
2022-10-31,0.4772968837797542,0.11438866276487492,2.582803639091602
2022-11-30,2.900224013335717,0.5606817429267608,3.153887677645595
2022-12-31,2.151993790440998,1.0132654305674782,3.1348845177405105
2023-01-31,1.7177964863950512,0.9466848768928893,3.8281620494170276
2023-02-28,-0.21748963872855187,0.7101445157228659,0.4270749736771995
2023-03-31,2.074685629512074,0.952583219167602,2.7350712549983225
2023-04-30,0.9933388446651925,0.8117166285067645,0.4424679070538229
2023-05-31,-0.367539018566887,0.8971643132652085,0.15335974439898425
2023-06-30,-1.2457650780039908,0.8987992028247849,0.04461657152263765
2023-07-31,-1.3022186297847904,1.0058005565502848,0.8410266177251824
2023-08-31,0.7004632469423511,1.0704475830438875,2.6498875224759466
2023-09-30,1.4029993197089308,1.092962845452039,1.3828198186977891
2023-10-31,0.26716648338354076,1.0499620147921274,-0.9533166585546149
2023-11-30,0.388278722391866,1.0451862262810252,-1.0266499728631584
2023-12-31,0.338309561558936,1.0690113527656697,0.9352422157145934
2024-01-31,2.9485593172450475,1.1213042720995992,0.7289115022650616
2024-02-29,2.834905462169446,1.0929128440836822,0.8372266434782505
2024-03-31,4.689266260706271,1.0802948037092142,3.1679267060589877
2024-04-30,3.560437633764302,1.0742824065633316,5.356304553762503
2024-05-31,2.700288204566048,1.1223282981557503,6.598828250354605
