1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.0,0.51,0.34,5.24,1.9,5.09
0.82,0.68,0.73,4.39,3.19,5.08
0.42,0.52,0.6,1.21,3.4,3.85
