1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
1.69,2.22,2.96,1.34,4.15,1.01,-2.27,-1.51,-0.32,0.85
1.26,1.81,2.45,1.74,4.61,2.55,-0.95,-0.4,0.28,1.31
0.42,0.84,1.27,2.22,3.75,4.77,5.24,4.45,3.91,3.61
