1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
0.6,-1.98,-0.04,7.63,9.83,10.81
0.99,-1.39,1.15,8.26,10.58,10.74
0.42,0.84,1.27,1.52,3.53,4.0
