1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
2.9,4.77,7.86,14.68,26.16,22.08,13.11,17.83,15.82,17.14
3.04,3.54,5.1,10.34,15.75,15.47,7.01,12.37,10.16,12.33
0.42,0.84,1.27,2.22,3.75,4.77,5.24,4.45,3.91,3.61
