1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
7.39,7.26,9.75,12.04,18.27,7.63,5.04,11.23,5.7,8.65
4.33,3.71,5.43,6.72,8.43,2.91,2.49,6.52,3.16,5.3
0.42,0.84,1.27,2.22,3.75,4.77,5.24,4.45,3.91,3.61
