1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
0.13,0.87,2.02,4.56,5.21,5.52,5.52
0.21,0.7,1.73,4.17,4.02,4.4,4.4
0.4,0.8,2.52,3.8,3.13,3.2,3.2
