Date,AtchisonFloatingRate,SAA Target,Peer Group
2022-12-31,0.11776329199801872,0.14087371506830149,0.14087371506830149
2023-01-31,1.2195778100541732,1.1249071430434077,1.1249071430434077
2023-02-28,0.2368412123883168,-0.16404662372119239,-0.16404662372119239
2023-03-31,0.22318150547520066,0.4123266737543041,0.4123266737543041
2023-04-30,0.5198384729335981,0.37809799393748733,0.37809799393748733
2023-05-31,-0.04218131847729678,-0.037414030763549544,-0.037414030763549544
2023-06-30,-0.04539891837147536,0.2716231719673612,0.2716231719673612
2023-07-31,0.6856211989400895,0.53252284948897,0.53252284948897
2023-08-31,0.5288689501450117,0.3297545737151353,0.3297545737151353
2023-09-30,0.23017752618184062,-0.015920854885487223,-0.015920854885487223
2023-10-31,0.06226608373913756,-0.08347710198449709,-0.08347710198449709
2023-11-30,1.0993164860749083,1.23782650959674,1.23782650959674
2023-12-31,1.2814542652057614,1.0860903055404325,1.0860903055404325
2024-01-31,0.47459205860058695,0.2661239824408357,0.2661239824408357
2024-02-29,0.3326941134379924,0.22034344541081996,0.22034344541081996
2024-03-31,0.7611416264436954,0.5716327437080837,0.5716327437080837
2024-04-30,-0.024225530666999173,-0.09386572895765388,-0.09386572895765388
2024-05-31,0.5312874506962162,0.5853408275020788,0.5853408275020788
2024-06-30,0.508896451999008,0.05872143338636615,0.05872143338636615
2024-07-31,0.9272667129601286,0.6471070926144629,0.6471070926144629
2024-08-31,0.646211371139338,0.4861134308193904,0.4861134308193904
2024-09-30,0.4851695611379325,0.5032214758681652,0.5032214758681652
2024-10-31,0.0523403228427366,-0.03913244856967868,-0.03913244856967868
2024-11-30,0.5558120892374951,0.44100833194120614,0.44100833194120614
2024-12-31,0.4806990755011231,0.17304204020629488,0.17304204020629488
2025-01-31,0.4390913890583992,0.36954491020884106,0.36954491020884106
2025-02-28,0.623333067881271,0.44788653947109847,0.44788653947109847
2025-03-31,0.22998157234834782,0.23438267626076925,0.23438267626076925
2025-04-30,0.4388137604681486,0.3081731148575795,0.3081731148575795
2025-05-31,0.33165647384232333,0.42379339372786706,0.42379339372786706
2025-06-30,0.3986452146986563,0.590933644654057,0.590933644654057
2025-07-31,0.38984724723745146,0.2924045455900304,0.2924045455900304
2025-08-31,0.3897682187466778,0.4406269021809628,0.4406269021809628
2025-09-30,0.3597078570011236,0.28486405605341325,0.28486405605341325
2025-10-31,0.5205803430519573,0.27694561350990465,0.27694561350990465
2025-11-30,0.20700444169579058,0.23325577198909375,0.23325577198909375
2025-12-31,0.22805500659424105,0.19678403682887868,0.19678403682887868
2026-01-31,0.29354476095053705,0.2371140634632507,0.2371140634632507
2026-02-28,0.46811734000540284,0.25184953952104294,0.25184953952104294
2026-03-31,-0.3670471044180945,-0.2387291282664128,-0.2387291282664128
