Date,AtchisonFloatingRate,SAA Target,Peer Group
2022-12-31,1.1899969422323409,1.3861432431997,1.3861432431997
2023-01-31,2.2892686952152186,2.2729024677021537,2.2729024677021537
2023-02-28,1.5787893058469393,1.1012398624681952,1.1012398624681952
2023-03-31,1.6857458952042714,1.3752960961453287,1.3752960961453287
2023-04-30,0.9827838994444615,0.6266378203870993,0.6266378203870993
2023-05-31,0.7016849382573742,0.7542733227975162,0.7542733227975162
2023-06-30,0.4318222097297042,0.6130906657859425,0.6130906657859425
2023-07-31,0.5974597745792565,0.7678770415308733,0.7678770415308733
2023-08-31,1.1721642567771529,1.1380035286648216,1.1380035286648216
2023-09-30,1.4510975426083705,0.8479750252604834,0.8479750252604834
2023-10-31,0.8230032840351065,0.23004218162974155,0.23004218162974155
2023-11-30,1.3951198749116323,1.1372116332453608,1.1372116332453608
2023-12-31,2.4586152572997566,2.2519324658734297,2.2519324658734297
2024-01-31,2.8808158537120487,2.6097049887537915,2.6097049887537915
2024-02-29,2.1006846135620982,1.5784339644072443,1.5784339644072443
2024-03-31,1.5761633473923897,1.061470717395463,1.061470717395463
2024-04-30,1.0718768816315283,0.6986254389300006,0.6986254389300006
2024-05-31,1.2719333189696869,1.0653646996612087,1.0653646996612087
2024-06-30,1.0184094299579893,0.5499353760829884,0.5499353760829884
2024-07-31,1.9798246682629417,1.2956830708379607,1.2956830708379607
2024-08-31,2.096404506780636,1.1957549218291508,1.1957549218291508
2024-09-30,2.0723028567521062,1.6453061125434543,1.6453061125434543
2024-10-31,1.1874502854106517,0.952260577056685,0.952260577056685
2024-11-30,1.096564868874239,0.9069462391861238,0.9069462391861238
2024-12-31,1.092067182865919,0.5754404618154352,0.5754404618154352
2025-01-31,1.4828373002141237,0.9866304241751944,0.9866304241751944
2025-02-28,1.5509807555518895,0.9935459959454995,0.9935459959454995
2025-03-31,1.2975927061851689,1.0553890649251052,1.0553890649251052
2025-04-30,1.2973127045695643,0.9935979044452647,0.9935979044452647
2025-05-31,1.0036824475094352,0.9693738659186879,0.9693738659186879
2025-06-30,1.1736480476736366,1.3285393246039945,1.3285393246039945
2025-07-31,1.1243232837677475,1.3126103525022748,1.3126103525022748
2025-08-31,1.182894138519086,1.3295928486333208,1.3295928486333208
2025-09-30,1.143652627505487,1.021275730255522,1.021275730255522
2025-10-31,1.2753673695093948,1.0057044509823143,1.0057044509823143
2025-11-30,1.0909913221184286,0.7971666537399225,0.7971666537399225
2025-12-31,0.9583791668799968,0.7086366800474142,0.7086366800474142
2026-01-31,0.7303547732290472,0.6686336556482431,0.6686336556482431
2026-02-28,0.9928313838126535,0.6873081879432918,0.6873081879432918
2026-03-31,0.3931884280587328,0.24966292122756695,0.24966292122756695
