1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
0.99,2.23,0.2,5.93,11.36,11.97
0.74,1.65,-0.42,3.89,8.0,8.54
0.0,0.42,0.84,1.45,3.16,3.77
