1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),Since Inception
-4.81,-2.81,5.34,38.93,47.58,33.94,21.52,15.74,12.4,11.6
-3.04,-0.39,4.99,15.92,16.25,12.66,8.15,12.18,9.75,12.02
-3.23,-0.32,4.04,17.0,21.32,15.68,11.92,14.61,12.32,14.78
