Date,Atchison70ETF,SAA Target,Peer Group
2022-12-31,-1.762776732921023,-2.593827798246484,-2.46007558032324
2023-01-31,3.4636382517937436,3.157276085102856,3.784605295299226
2023-02-28,-0.6370050916736814,0.19320566204408252,-0.8900276432812104
2023-03-31,0.8318679814359298,1.5046544663419592,1.0006804391879065
2023-04-30,1.7556150467921139,1.9755249989317658,1.5405949743585223
2023-05-31,-0.8416952334504457,-0.17428292963396208,-0.9759610099327354
2023-06-30,1.2315123869458766,1.2674193725316307,1.330591350505772
2023-07-31,2.443955523507335,2.2381486213694846,1.7689955389723622
2023-08-31,-0.24877973589391145,0.30314201742696056,-0.11987906825646766
2023-09-30,-2.6597453633920742,-2.8836335921381573,-2.6439600228863602
2023-10-31,-2.394781703009208,-2.3806147563783298,-2.1086048061506157
2023-11-30,4.2399603386619855,4.458558996561335,3.9169961289039934
2023-12-31,3.990038494488135,3.995952810273007,3.71666175657428
2024-01-31,1.6161427988354626,1.2434370480405965,1.1702029511230005
2024-02-29,1.8006637128624936,1.4022215975559194,2.036079213588926
2024-03-31,2.7039070274605725,2.5481348428662454,2.5837409282478685
2024-04-30,-1.9268424812710294,-1.9461808600630404,-2.3634098648849133
2024-05-31,0.853633585686242,0.6912190239849014,1.0289119606427422
2024-06-30,1.4818769732025006,1.4170000685520323,0.8627051049585388
2024-07-31,3.235245526973607,2.5419317203493996,2.6356579413082004
2024-08-31,0.13882474372712839,0.364223861284918,0.24561527116027104
2024-09-30,1.9778145977153327,1.6592858003766642,1.6296388155718322
2024-10-31,0.739030538481078,0.22834904387964983,-0.22399699074293622
2024-11-30,1.758658035922167,2.0406658010728718,2.6122533800263747
2024-12-31,-0.710469177750972,-0.7903891283796094,-0.9040716886026479
2025-01-31,3.006273940799553,2.204373492339906,2.213198483653178
2025-02-28,-1.0417758571282465,-1.2621778275973883,-0.916319734199933
2025-03-31,-1.4923057647082683,-2.0975156022782215,-2.2380257791336455
2025-04-30,1.2104389918897729,1.1700431082354523,0.6455950459436366
2025-05-31,2.9050271669428085,2.9612130798621905,2.9440927067506006
2025-06-30,1.2680701270866956,1.3930076502341127,1.4207947973085
2025-07-31,1.8476351967215754,1.7574535663029245,0.9595029695099733
2025-08-31,1.5752200663183613,1.4455770153527947,1.6996540083600076
2025-09-30,0.7360174972404598,0.6877314396060985,0.579308888918173
2025-10-31,1.4334895009638915,1.3105461110445304,1.1281953010035428
2025-11-30,-0.7030278282685654,-0.7155208528192181,-0.5846977370164819
2025-12-31,0.20554170430371332,0.13453887647218998,0.20539841781528345
2026-01-31,0.5599874578297248,0.0768368749281878,0.41418299615827436
2026-02-28,1.4686700154906251,1.4428529050275918,1.303349052656122
2026-03-31,-4.987996450661369,-4.363449600482494,-4.322110893572351
