1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.64,2.64,4.31,8.74,18.83,13.71
2.6,2.37,4.04,7.96,16.92,12.17
0.0,0.0,0.25,1.4,2.93,3.69
