1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
-6.36,-4.44,-2.55,10.56,10.1,12.6,13.03
-5.01,-3.18,-2.39,7.71,6.65,9.53,10.29
0.08,-0.02,0.78,3.68,3.02,3.19,2.95
