1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.07,2.51,0.22,7.08,12.99,13.83
0.86,1.9,-0.51,5.36,9.98,10.69
0.0,0.42,0.84,1.45,3.16,3.77
