1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
0.75,1.14,1.46,4.02,5.77,6.1
0.57,0.79,1.01,3.28,4.77,4.96
0.42,0.52,0.6,1.21,3.4,3.85
