1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.06,0.47,2.44,6.58,9.48,9.43
0.73,-1.32,0.63,6.3,7.96,8.41
0.42,0.84,1.27,1.52,3.53,4.0
