Date,BON032,SAA Benchmark,Peer Group
2019-06-30,0.0,-0.0006520500000051221,0.0
2019-07-31,1.4964072856193278,1.5349502287432593,1.3712992225833887
2019-08-31,1.677625071910116,1.7365129131039936,1.0587994802340628
2019-09-30,2.314061716777971,2.5328649176402207,1.9838043019039686
2019-10-31,0.6943792746049171,1.0046619092693332,0.7131655555814964
2019-11-30,2.571911966500262,2.649668137380967,2.6692172559678484
2019-12-31,0.8612460234931119,0.9656338466598635,1.1551910477701322
2020-01-31,3.952430455284972,3.908029636597332,3.1722703766975613
2020-02-29,-0.9785920594379327,-0.6986940159806054,-1.6974698322780646
2020-03-31,-8.492604430082851,-6.691331405577872,-10.313202209083915
2020-04-30,-8.494568079281962,-6.468977704115753,-8.929481507758307
2020-05-31,-3.8865030926481303,-1.7212484780765758,-3.9357252592938097
2020-06-30,5.484567177857413,6.237045274495623,6.504095416890299
2020-07-31,3.2192342303317245,3.7674493730295078,3.562391627510264
2020-08-31,2.4939960676650053,2.6676926543560686,2.7996598028722897
2020-09-30,1.6424358221234225,1.459331290927901,1.3992967698665426
2020-10-31,1.654647708398449,1.1280311315636116,0.9066632648701667
2020-11-30,4.623755112022221,4.654548596822239,4.658651377509826
2020-12-31,5.454813527436797,5.543315977652696,6.325402390609858
2021-01-31,4.5223880530741445,4.957430246693084,6.0031086750068186
2021-02-28,-0.4882524141533562,0.012925921533790685,1.1440406243617973
2021-03-31,1.7166570771351752,1.7980149449856375,2.3524979162987902
2021-04-30,3.8583768856315315,3.7027094960257356,4.178266405685704
2021-05-31,5.429295403850931,5.001745469118757,4.914060765641892
2021-06-30,4.777809113266396,5.031811835158129,4.2891914230558825
2021-07-31,4.510759989667856,4.903327242386224,3.7195299598002274
2021-08-31,5.436302681764427,5.458874466031416,4.046189080112894
2021-09-30,1.3593751605802895,1.3227979474566665,1.276996857545587
2021-10-31,-1.2018789070386338,-0.5753762667356721,-0.02533594674047901
2021-11-30,-1.518117249148876,-0.5038624529299818,-1.0237097878907808
2021-12-31,1.9390742254207893,2.383779348098969,1.8480026888817225
2022-01-31,0.7427777098727661,0.7047117255845503,-0.6942253357869799
2022-02-28,-3.321534973781992,-2.9655624495678823,-1.9339524964209098
2022-03-31,-5.600517499507074,-4.237907841249633,-2.836709338633092
2022-04-30,-4.886525188497714,-3.8482188813079854,-1.7595235761447503
2022-05-31,-3.322881298682101,-2.662673824518269,-2.0708760155537576
2022-06-30,-5.613976218460969,-5.695186100007865,-6.2598991789916125
2022-07-31,-0.9717394427869563,-0.6666875167364195,-1.7126412597108676
2022-08-31,-1.6150783607688068,-1.2762980639086652,-1.385652893747491
2022-09-30,-1.6314932410124383,-1.2420812151360594,-1.2161999509887278
2022-10-31,-2.2487372583082643,-1.7025348904253446,-1.6500143249988386
2022-11-30,2.9001458886591225,2.720409138215918,2.019195705161514
2022-12-31,3.43823393882694,3.4359904641618755,3.6023008325247297
2023-01-31,4.428187442837572,3.3320788927510003,3.893593745797941
2023-02-28,-0.17816622783810576,-0.17385899201977084,0.16170259875512016
2023-03-31,5.197288687233903,4.602953144766642,3.372298283932218
2023-04-30,2.5035451216536497,2.6170113118725746,1.4386293781739612
2023-05-31,2.0332182802224263,2.69147312243756,1.5597598334573304
2023-06-30,0.04552070646570705,1.6750537747616923,1.2580025337687095
2023-07-31,0.4810955669906303,1.9622546659960438,1.3639391413416968
2023-08-31,2.170867266791121,2.7000965269223576,2.070811911955084
2023-09-30,-0.9823594738082031,-0.6726819512086757,-1.0250035660488543
2023-10-31,-4.229914283430936,-3.586964390962011,-3.921321171454384
2023-11-30,-1.055840885694248,-0.3999166661630027,-0.5813247381930786
2023-12-31,4.520268912141856,4.952232768818732,5.052501644995178
2024-01-31,7.197312980688464,8.44902704285242,7.717356011581877
2024-02-29,5.851101212844312,6.355740214089023,5.678732607043813
2024-03-31,4.907321988761892,5.571756072090417,4.336195441092294
2024-04-30,1.7450573056109642,1.415299393643732,1.3428126040385013
2024-05-31,0.5076196942800815,0.8421876842687581,0.7995476969538506
2024-06-30,-0.5597333873336163,-0.19467323834579942,-0.44903915960111673
2024-07-31,4.501791185896775,5.066018311179321,3.981610448419759
2024-08-31,3.9666914947724896,4.307336636766945,3.475567431109128
2024-09-30,4.280432160950132,4.357673658562833,3.9077045480791384
2024-10-31,1.0574783642751662,1.4932333663072894,1.3002054433886245
