1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),4 Years (p.a.),5 Years (p.a.),6 Years (p.a.),7 Years (p.a.),Since Inception
2.22,1.84,2.94,7.02,13.82,8.26,3.51,4.84,4.28,4.28,3.66,3.45
2.17,1.92,3.08,6.66,13.58,8.29,4.25,5.49,4.69,4.54,3.88,3.65
0.0,0.0,0.25,1.4,2.93,3.86,4.93,4.24,3.92,3.34,2.86,2.7
