Date,AtchisonRealAssets,SAA Benchmark,Peer Group
2022-12-31,-2.2788664861072228,-2.6805460852581953,-2.4433496897202645
2023-01-31,5.313222126412143,2.9264490875000826,3.7701394837788227
2023-02-28,-1.8454396947675256,-1.1095737827541252,-1.023669171203756
2023-03-31,-3.520657810407457,-1.9636348329207798,-2.11147966760713
2023-04-30,2.821891687560796,2.3905101632450743,2.375294249616422
2023-05-31,-2.443718858478916,-2.127071107583811,-2.222327666655355
2023-06-30,1.297436904608662,0.792460478569601,0.5024479102184731
2023-07-31,2.5939361946856643,1.985768684876854,1.7263053277089213
2023-08-31,-0.24790768247918704,-0.5570366816876837,-0.9357688693053867
2023-09-30,-6.182967001994244,-4.811582918605284,-4.215388788991314
2023-10-31,-2.5676316423796863,-2.094123140984594,-2.2429946892605024
2023-11-30,7.414993118490054,5.613686292886388,5.653991960406191
2023-12-31,6.524974474334955,4.531650726280345,4.4976867477545035
2024-01-31,-1.3702463142978627,-0.7040898343652735,-0.7711915774571754
2024-02-29,0.854728290365725,1.564892188246425,1.2915569573310526
2024-03-31,4.519029181750311,4.347388673148367,3.2697683532299404
2024-04-30,-4.702906504584325,-3.9856432188988267,-3.23472790376097
2024-05-31,2.64866691946688,2.01961142805549,1.659211850636888
2024-06-30,-0.6631150944801156,-0.47627895135260445,-0.5885533878317473
