1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
-0.66,1.97,-2.83,1.03,8.12,6.3
-0.59,1.06,-2.21,1.5,5.73,4.59
0.0,0.42,0.84,1.45,3.16,3.77
