1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
-0.18,0.3,3.39,7.31,9.13,9.91,9.91
0.03,0.71,4.08,8.14,8.68,8.73,8.73
0.4,0.8,2.52,3.8,3.13,3.2,3.2
