1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.58,4.81,6.18,11.8,15.13,15.79
2.58,4.67,5.9,11.81,12.75,13.53
0.42,0.52,0.6,1.21,3.4,3.85
