Date,AtchisonAlts,SAA Target,Peer Group
2022-12-31,1.541152480574759,0.05899919677998522,0.05899919677998522
2023-01-31,1.4861437255029086,1.3989115583693756,1.3989115583693756
2023-02-28,-0.15341692479852176,1.7264125937729524,1.7264125937729524
2023-03-31,1.672517308051491,2.444307381679778,2.444307381679778
2023-04-30,0.6777785974276807,0.7996330664096218,0.7996330664096218
2023-05-31,-0.43161337146195855,0.6757673803337694,0.6757673803337694
2023-06-30,-1.06348017684873,1.7742062649075185,1.7742062649075185
2023-07-31,-0.09259778016716957,1.2568331629780882,1.2568331629780882
2023-08-31,1.5740061066073396,1.5270315298865578,1.5270315298865578
2023-09-30,2.354430611498315,0.9511103565013945,0.9511103565013945
2023-10-31,0.21121472072123115,0.427177188476624,0.427177188476624
2023-11-30,0.340351082268997,0.5500785230971417,0.5500785230971417
2023-12-31,0.6349107385582142,1.7022986585381705,1.7022986585381705
2024-01-31,3.3790164002844847,2.808594815654142,2.808594815654142
2024-02-29,3.1532100652892803,4.353937753285808,4.353937753285808
2024-03-31,4.672685146515643,4.887894047687924,4.887894047687924
2024-04-30,3.594695598647535,3.0633091878593754,3.0633091878593754
2024-05-31,2.797057903836042,2.095260037401392,2.095260037401392
2024-06-30,-0.24016350274297382,-0.8769587894325914,-0.8769587894325914
2024-07-31,2.9052368357197267,0.36200857872981107,0.36200857872981107
2024-08-31,2.685343146344432,-1.5904934434418871,-1.5904934434418871
2024-09-30,4.057074168960151,0.012687724975091186,0.012687724975091186
2024-10-31,2.3616733802464873,0.0020638063142675023,0.0020638063142675023
2024-11-30,3.166309500661657,3.585314772065473,3.585314772065473
2024-12-31,3.2420186780296234,3.0400401582916015,3.0400401582916015
2025-01-31,3.7820610463298543,3.891092867300472,3.891092867300472
2025-02-28,4.1453706713034055,0.2628268067418116,0.2628268067418116
2025-03-31,3.925238687101862,-1.9312009668700725,-1.9312009668700725
2025-04-30,0.04371328669585672,-3.3713624643451734,-3.3713624643451734
2025-05-31,0.15339067654533967,-0.3928663370194152,-0.3928663370194152
2025-06-30,-0.6985980414802362,2.464617255323609,2.464617255323609
2025-07-31,2.6171094354915603,4.130894869739898,4.130894869739898
2025-08-31,1.8376591167486245,3.3429594784633254,3.3429594784633254
2025-09-30,3.3536720936874875,3.6752756654990115,3.6752756654990115
2025-10-31,1.842693720070776,2.698202459577237,2.698202459577237
2025-11-30,2.8971208076596033,0.9588868444327492,0.9588868444327492
2025-12-31,2.098480128894864,0.5060079343578217,0.5060079343578217
2026-01-31,2.3599586662544914,0.0994846205330413,0.0994846205330413
2026-02-28,-0.9312533349844276,0.09432830113662583,0.09432830113662583
