1 Month,3 Months,6 Months,1 Year,2 Years (p.a.),3 Years (p.a.),Since Inception (p.a.)
-2.11,3.76,16.11,11.95,22.17,21.99,16.34
-0.97,3.97,12.25,7.16,12.52,11.81,6.75
0.6,-0.01,1.34,2.05,2.08,3.24,4.23
