Date,Atchison55ETF,SAA Benchmark,Peer Group
2022-12-31,4.713196704230116,4.2315537924091595,3.6023008325247297
2023-01-31,5.035189967162568,4.1822173804487495,3.893593745797941
2023-02-28,0.20353701415736225,0.16896236921466468,0.16170259875512016
2023-03-31,3.8693790758836943,4.116708889144971,3.372298283932218
2023-04-30,1.656069703867935,2.031314704053133,1.4386293781739612
2023-05-31,1.8383174830745475,2.2611682008302214,1.5597598334573304
2023-06-30,1.4782713346230825,1.871301970885364,1.2580025337687095
2023-07-31,1.8993802808441984,2.2871103856425767,1.3639391413416968
2023-08-31,2.667914177704289,2.9564199153576,2.070811911955084
2023-09-30,-0.629734527989978,-0.43432780213691347,-1.0250035660488543
2023-10-31,-4.04459081368752,-3.6379362160712025,-3.921321171454384
2023-11-30,-0.557432450852513,-0.42659910901818865,-0.5813247381930786
2023-12-31,5.333736890824814,5.175989187628094,5.052501644995178
2024-01-31,8.440482862119625,8.594919463404693,7.717356011581877
2024-02-29,6.38878904314315,6.434293238330646,5.678732607043813
2024-03-31,5.070612514642381,5.281272572400342,4.336195441092294
2024-04-30,1.846420310207697,1.6086746426879905,1.3428126040385013
2024-05-31,1.3547042425910982,1.167184984226055,0.7995476969538506
2024-06-30,-0.012465029283370566,0.028488531384307514,-0.44903915960111673
2024-07-31,4.803983689395408,4.949894771194496,3.981610448419759
2024-08-31,3.929124627652758,4.173249247409916,3.475567431109128
2024-09-30,4.513844942851253,4.443704055495434,3.9077045480791384
2024-10-31,1.4948515106769866,1.7619500213706507,1.3002054433886245
2024-11-30,3.567931628935783,4.133480649200605,3.102374104226535
2024-12-31,1.5523524493211038,2.5838930633848456,1.231899944065007
2025-01-31,3.953599513687145,4.58800134349433,3.2549255494588314
2025-02-28,0.8496983119784751,1.1113465354041896,0.7038311743270187
2025-03-31,-0.30828095203467853,-0.7420547402546385,-0.3240023846392659
