Date,Atchison55ETF,SAA Benchmark,Peer Group
2022-12-31,-2.227297773336767,-2.3326049486058653,-2.0333319810240003
2023-01-31,3.53737588988845,3.2588053888487734,3.1492006384428617
2023-02-28,-1.015252503163,-0.6985659731527094,-0.8808670870188551
2023-03-31,1.3496147288686977,1.5169000694531976,1.106903792452285
2023-04-30,1.3311410355952402,1.2669755939441085,1.2197049685242822
2023-05-31,-0.8377938382827188,-0.4926600444841056,-0.7625064016404837
2023-06-30,0.9912963735381197,1.099645587256104,0.8064920317478741
2023-07-31,1.751639428597751,1.681304300742048,1.3256015090009399
2023-08-31,-0.08990394422578873,0.1738553815254118,-0.0704626369364858
2023-09-30,-2.2525000982217547,-2.2026743872090804,-2.2509765282588745
2023-10-31,-1.745052703926031,-1.5837599625105447,-1.6395021444724711
2023-11-30,3.540973459632335,3.4321844862343687,3.403401725475219
2023-12-31,3.538250169387358,3.2369719185533663,3.288234549697844
2024-01-31,1.1529092471272095,1.633965872924259,0.8555969546019782
2024-02-29,1.581978353274871,1.4390988357015688,1.4464228070199647
2024-03-31,2.2553923381925634,2.1721834951125674,1.9760661477156605
2024-04-30,-1.9510644867751337,-1.936138886065275,-2.0379282661366904
2024-05-31,1.0915390154518478,0.9564915777779959,0.9026024803071353
2024-06-30,0.8760737231075177,1.0067792657190155,0.712905957175769
2024-07-31,2.772000942918651,2.922322110230491,2.3220056919534215
2024-08-31,0.2476698622019713,0.2036459480941888,0.41154394415416906
2024-09-30,1.443617131509023,1.2564894309161412,1.133505581826122
2024-10-31,-0.19667747502429833,0.29240133470742613,-0.2457012879313658
2024-11-30,2.2952757082112196,2.576722046945057,2.1979029835110353
2024-12-31,-0.5306198681023888,-0.1983959947074787,-0.701249539584825
2025-01-31,2.1632130638302938,2.1948180999239897,1.7511956527949346
