Date,BON032(Blackrock),SAA Benchmark,Peer Group
2022-12-31,-2.527843701189192,-3.0394938747249522,-2.0333319810240003
2023-01-31,3.683859874967199,3.390211380953456,3.1492006384428617
2023-02-28,-1.2483029145899494,-0.7210140890417938,-0.8808670870188551
2023-03-31,2.525665653572906,2.3058006563929867,1.106903792452285
2023-04-30,1.4034536820663357,1.0533239046263132,1.2197049685242822
2023-05-31,-1.3059644347685584,-0.3135021613979161,-0.7625064016404837
2023-06-30,0.596951658217737,0.9086552804623338,0.8064920317478741
2023-07-31,1.6546660380510891,1.5112480747561774,1.3256015090009399
2023-08-31,0.1766828745103588,0.28356153196269496,-0.0704626369364858
2023-09-30,-2.3657412874849792,-2.451248949300955,-2.2509765282588745
2023-10-31,-1.6288169296547417,-1.5812762134513547,-1.6395021444724711
2023-11-30,3.4641621888839014,3.688360524055634,3.403401725475219
2023-12-31,3.079816503022048,3.0318427683591054,3.288234549697844
2024-01-31,1.1175497939855727,1.918246910145105,0.8555969546019782
2024-02-29,2.03165412591102,1.5061088068458517,1.4464228070199647
2024-03-31,2.2026336207493724,2.0702690316193983,1.9760661477156605
2024-04-30,-2.1403397261175128,-2.2802265275179923,-2.0379282661366904
2024-05-31,1.2900926786727718,0.8957221290017303,0.9026024803071353
2024-06-30,0.9770920187965881,1.1353095460218787,0.7392376351045504
