1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.14,2.01,3.25,7.71,15.69,10.14
2.17,1.92,3.08,6.66,13.58,8.67
0.0,0.0,0.25,1.4,2.93,3.85
