Date,BON032(Blackrock),SAA Benchmark,Peer Group
2022-12-31,5.292098218263219,3.613117489011586,3.6023008325247297
2023-01-31,5.489825915128188,3.540184794929524,3.893593745797941
2023-02-28,-0.1986770968283147,-0.4751276018151729,0.16170259875512016
2023-03-31,4.975589463590047,5.0115367876310435,3.372298283932218
2023-04-30,2.666773177189574,2.6380031434770856,1.4386293781739612
2023-05-31,2.60682562805421,3.059302879032688,1.5597598334573304
2023-06-30,0.6765848503304861,1.651867254266115,1.2580025337687095
2023-07-31,0.9259964941591647,2.1125037297025084,1.3639391413416968
2023-08-31,2.4421738019505312,2.724097776409473,2.070811911955084
2023-09-30,-0.5748630034653868,-0.696254319833356,-1.0250035660488543
2023-10-31,-3.7863313660464137,-3.721527393017743,-3.921321171454384
2023-11-30,-0.6289055428103096,-0.45270804232067086,-0.5813247381930786
2023-12-31,4.913524386072798,5.142719127884288,5.052501644995178
2024-01-31,7.842542857139612,8.881330671596732,7.717356011581877
2024-02-29,6.349414135985687,6.5897863783966,5.678732607043813
2024-03-31,5.444407813850072,5.595007129261043,4.336195441092294
2024-04-30,2.047111974798277,1.2450713128324908,1.3428126040385013
2024-05-31,1.3054381806135051,0.6362543317350644,0.7995476969538506
2024-06-30,0.090655110980431,-0.2855696379197248,-0.4230112755535198
