1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
1.38,1.9,4.92,4.75,17.91,14.92
1.55,1.8,4.49,3.96,16.1,11.85
0.2,0.5,0.92,2.2,3.42,4.01
