Date,Atchison70ACTIVE,SAA Benchmark,Peer Group
2021-06-30,7.187756655408717,6.562190002669865,5.726204194047058
2021-07-31,6.224431991445956,5.828365963953797,4.76802733003554
2021-08-31,7.193155332738921,6.658514761163481,5.2798838327366315
2021-09-30,2.347813840839774,1.7969047068712163,1.6228911513119781
2021-10-31,1.5584047590425643,0.5300172924657787,0.44923425665526207
2021-11-30,-0.037430184437192704,-0.2938189501562771,-0.8785179924997499
2021-12-31,3.929948780841408,3.385302560844017,2.93820083672367
2022-01-31,0.00911934504537193,0.01838666614615292,-0.5609417492949853
2022-02-28,-1.4385740334928676,-2.1126809414348746,-2.290852575288127
2022-03-31,-0.9256115121351716,-1.6311658276645602,-2.9810055560068993
2022-04-30,1.1553036700272745,0.14826474679237034,-1.4405682244175821
2022-05-31,0.5234520044660185,-0.23644382521158525,-1.621619084111714
2022-06-30,-6.451927213188336,-6.811092208344183,-7.852998577013892
2022-07-31,-2.3457624186385084,-2.035367488457962,-2.761417734569782
2022-08-31,-1.3253783743927938,-1.065731528647218,-2.1197535953694335
2022-09-30,-0.3181740066142802,-0.008318928806638759,-1.3265972020521044
2022-10-31,0.4388318790576218,0.28329291008324375,-1.4583984874342093
2022-11-30,4.32471112905668,4.2397833182904465,2.5768647153180613
2022-12-31,5.744108855266639,5.213857305829572,4.519595247791974
2023-01-31,4.602195342891902,4.62843711227352,4.602446698060003
2023-02-28,0.41239037985305593,0.7486671909045173,0.33043789308484506
2023-03-31,4.473690331534952,5.340782747078454,3.890202460716985
2023-04-30,3.0462880314094054,3.1354507764747686,1.6439089386369066
2023-05-31,3.2124891912910236,3.1303436381886263,1.5557785206071317
2023-06-30,3.2275525031270513,3.0066486839795514,1.8875026168769793
2023-07-31,3.371703691669925,3.5669617680439414,2.116683498973093
2023-08-31,4.227188119217273,4.032240306886181,2.999501949714234
2023-09-30,0.27155889555867674,-0.047474268409153364,-1.0405101184764454
2023-10-31,-3.5035413899823786,-3.412394448553757,-4.811062732124305
2023-11-30,-0.3988439289053569,-0.49900356884070574,-0.9637920608828177
2023-12-31,5.653290054098514,4.958020271831853,5.506601160953495
2024-01-31,9.02650931167479,7.96289003655295,9.040475222560929
2024-02-29,7.620746668939682,6.17225296080004,7.066822384812466
2024-03-31,6.593197796619621,5.434671557156867,5.897306985375805
2024-04-30,2.9065369970851185,1.9399711109451934,2.198588684642222
2024-05-31,1.6592474425633608,1.350650934526798,1.189817349896738
2024-06-30,-0.1601200497294064,-0.05101236051011648,-0.5078327751175782
2024-07-31,4.943415101775295,5.174580675774543,4.243748177000728
