Date,YieldFPBestIdeas,SAA Benchmark,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,0.0,0.0
2023-06-30,0.0,0.23009416876000888,0.0
2023-07-31,2.034021044966705,1.8097680322947118,1.7689955389723622
2023-08-31,-0.22434298171075673,0.21416420436246586,-0.11987906825646766
2023-09-30,-2.339596061576843,-2.3445409521901106,-2.6439600228863602
2023-10-31,-2.1542642183563276,-1.454828188333046,-2.1086048061506157
2023-11-30,3.333159171869604,3.421384467150679,3.9169961289039934
2023-12-31,3.68634585080454,2.958700261562841,3.71666175657428
2024-01-31,1.2814838066879108,1.8501327647458155,1.1702029511230005
2024-02-29,2.5126858471976377,1.802868744548558,2.036079213588926
2024-03-31,2.9407404438132945,2.3217881992585676,2.5837409282478685
2024-04-30,-2.112451218949596,-1.9296399689281984,-2.3634098648849133
2024-05-31,0.9755390653614748,1.0480084044977245,1.0289119606427422
2024-06-30,-0.042666549254111175,0.9728059095116315,0.8627051049585388
2024-07-31,3.3586188981833187,3.0668623101776094,2.6356579413082004
2024-08-31,0.2253849529697982,0.08180456690529692,0.24561527116027104
2024-09-30,1.5858756815819497,1.201782208794655,1.6296388155718322
2024-10-31,0.3287400876544222,0.6648658363609616,-0.22399699074293622
