1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
3.24,3.58,5.22,8.95,19.28,13.66
2.6,2.37,4.04,7.96,16.92,12.18
0.0,0.0,0.25,1.4,2.93,3.22
