Date,YieldFPBestIdeas,SAA Benchmark,Peer Group
2022-12-31,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0
2023-04-30,0.0,0.0,0.0
2023-05-31,0.0,0.0,0.0
2023-06-30,0.0,0.23009416876000888,0.0
2023-07-31,2.034021044966705,2.0440263717651064,1.7689955389723622
2023-08-31,1.8051148797950445,2.262568148943611,1.646995815346286
2023-09-30,-0.5767135784164212,-0.36427563184260325,-1.0405101184764454
2023-10-31,-4.657833591976878,-3.5591597328319735,-4.811062732124305
2023-11-30,-1.2584075950988427,-0.4726996548491402,-0.9637920608828177
2023-12-31,4.834246911461859,4.932193079571023,5.506601160953495
2024-01-31,8.515389006267672,8.45135890447506,9.040475222560929
2024-02-29,7.653768373456504,6.754125489656371,7.066822384812466
2024-03-31,6.8796333499527185,6.09373457512099,5.897306985375805
2024-04-30,3.2981047474882175,2.1564770156542012,2.198588684642222
2024-05-31,1.7491808463131253,1.3989946978235634,1.189817349896738
2024-06-30,-1.1996926159042687,0.06217826358438927,-0.5078327751175782
2024-07-31,4.322392838515787,5.160159973735023,4.586241991873008
2024-08-31,3.547374722973018,4.154636443555937,3.7753646348095193
2024-09-30,5.234407247821848,4.390828188364804,4.564445449039112
2024-10-31,2.1495411374025997,1.9579763911243164,1.6510502592647303
