1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
0.1,1.08,1.09,7.31,21.68,11.29,9.25
-0.22,1.4,1.65,6.31,18.42,10.64,7.44
0.0,0.25,0.55,1.82,3.31,4.2,4.68
