1 Month,2 Months,3 Months,6 Months,1 Year,2 Years (p.a.),Since Inception
0.5,1.65,1.46,8.41,25.0,14.14,10.26
0.2,1.75,1.99,7.6,21.61,13.05,9.14
0.0,0.25,0.55,1.82,3.31,4.2,4.68
