1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.24,3.99,5.09,10.11,12.75,13.48
1.98,3.45,4.34,9.64,9.89,10.77
0.42,0.52,0.6,1.21,3.4,3.85
