Date,Atchison70ACTIVE,SAA Benchmark,Peer Group
2022-12-31,5.619330110150811,5.1167040646453055,4.519593562688051
2023-01-31,4.448725697395162,4.425721072532829,4.602447002023324
2023-02-28,0.17306517587167836,0.5619403633108089,0.3304360823942032
2023-03-31,4.277651616916245,5.182980430483242,3.890201416973249
2023-04-30,2.8604388597461394,3.0330876342087976,1.6439085293197042
2023-05-31,3.0070976226984847,3.0141896343896413,1.5557821723089837
2023-06-30,3.038174349821876,2.907453656464365,1.887507907042818
2023-07-31,3.1055738818551726,3.420623755280028,2.1166886995496625
2023-08-31,3.8704747569031417,3.8654367102462173,2.9995061601249207
2023-09-30,-0.018891788307739965,-0.19233003885607003,-0.9944489315737881
2023-10-31,-3.768929586514713,-3.5213177734040535,-4.766759532212439
2023-11-30,-0.5650222875067334,-0.568144964282935,-0.8052635213288917
2023-12-31,5.297677378980059,4.872972054378688,5.583263838340535
2024-01-31,8.687932121377218,7.815159288839291,9.119707314263525
2024-02-29,7.06426269514413,5.910154108125609,7.02300060296952
2024-03-31,6.176041178424185,5.180859309040797,5.89713604064841
2024-04-30,2.5316875322641375,1.773360354591036,2.1984233047782187
2024-05-31,1.5173988210414269,1.2864883385354187,0.978744142747523
