Date,Atchison70ACTIVE,SAA Benchmark,Peer Group
2021-06-30,7.027687462811838,6.55541702804594,5.726204194047058
2021-07-31,6.045716274666546,5.812684620589614,4.76802733003554
2021-08-31,7.036184292758496,6.646306891622178,5.2798838327366315
2021-09-30,2.1778894876619326,1.7939699182833335,1.6228911513119781
2021-10-31,1.3869125502875779,0.5246343363902062,0.44923425665526207
2021-11-30,-0.23293965497421798,-0.3118121180570532,-0.8785179924997499
2021-12-31,3.733823596504937,3.3649372615532247,2.93820083672367
2022-01-31,-0.15197142295311217,0.030562271469292135,-0.5609417492949853
2022-02-28,-1.6524679539631215,-2.081462374494114,-2.290852575288127
2022-03-31,-1.2038309022050053,-1.5892511085547123,-2.9810055560068993
2022-04-30,0.7932515476589019,0.20118451806918625,-1.4405682244175821
2022-05-31,0.11414521272319345,-0.19020483424262435,-1.621619084111714
2022-06-30,-6.859161002617064,-6.772469150411753,-7.852998577013892
2022-07-31,-2.75413445626167,-2.0342814717283164,-2.761417734569782
2022-08-31,-1.6609354504818596,-1.0618009128836703,-2.1197535953694335
2022-09-30,-0.6550576569897659,-0.006260110513678363,-1.3265972020521044
2022-10-31,-0.017260802927210328,0.2901359045417662,-1.4583984874342093
2022-11-30,3.8096789962038136,4.209356683554066,2.5768647153180613
2022-12-31,5.295935420920239,5.21125081600633,4.519595247791974
2023-01-31,4.244629529627253,4.635937166620008,4.602446698060003
2023-02-28,0.12129680946115773,0.8006382260057565,0.33043789308484506
2023-03-31,4.069010396372019,5.3513905576696,3.890202460716985
2023-04-30,2.726823790719912,3.1677036858376972,1.6439089386369066
2023-05-31,2.911849711692116,3.1216339699482454,1.5557785206071317
2023-06-30,3.0567448802460317,3.0189249990059785,1.8875026168769793
2023-07-31,3.171810426145849,3.5556098243156864,2.116683498973093
2023-08-31,4.022105665539866,4.046207531822721,2.999501949714234
2023-09-30,0.08632389762124326,-0.0331157295735407,-1.0405101184764454
2023-10-31,-3.6793339280164927,-3.401325517365561,-4.811062732124305
2023-11-30,-0.5931742324228328,-0.5027281939074979,-0.9637920608828177
2023-12-31,5.4236966898080885,4.918768608673663,5.506601160953495
2024-01-31,8.801415107386767,7.930067892516113,9.040475222560929
2024-02-29,7.344810132591317,6.166484196254118,7.066822384812466
2024-03-31,6.330135659117397,5.452115148321779,5.897306985375805
2024-04-30,2.6138240647426425,1.9538790909553905,2.198588684642222
2024-05-31,1.4417938507036654,1.3803253763715384,1.189817349896738
2024-06-30,-0.3683602492504212,-0.03946959762967106,-0.5078327751175782
