1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
0.69,-2.11,-0.24,7.32,7.72,9.63
1.13,-1.44,1.24,9.5,12.9,13.22
0.42,0.84,1.27,1.52,3.53,4.0
