1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
3.19,3.25,5.17,9.12,19.33,13.85
2.6,2.37,4.04,7.96,16.92,12.18
0.0,0.0,0.25,1.4,2.93,3.22
