1 Month,2 Months,3 Months,6 Months,1 Year,Since Inception
2.38,3.18,4.69,5.04,5.18,5.86
3.96,4.25,3.17,4.13,5.6,6.75
0.42,0.52,0.6,1.21,3.4,3.85
